MeasureName,MeasureType,StratificationLevel,StateName,CountyName,ReportYear,Value,Unit,MonitorOnly
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,West Virginia,Ohio,1999,15.9557508998026,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Oregon,Lane,1999,12.7772456709957,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Wisconsin,Dodge,1999,12.4772222222222,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Idaho,Bonner,1999,9.57712643678161,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Massachusetts,Essex,1999,11.6033330175572,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Montana,Flathead,1999,10.5233486341245,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Wisconsin,Jefferson,1999,13.5436904761905,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Georgia,Clayton,1999,21.0440585510816,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Alabama,Madison,1999,15.6080357142857,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Louisiana,Lafayette,1999,13.0583497536946,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Louisiana,Rapides,1999,14.2907142857143,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Florida,Miami-Dade,1999,12.0606165085252,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Ohio,Scioto,1999,24.6465909090909,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,North Carolina,New Hanover,1999,12.8538729246488,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,California,Modoc,1999,7.89107142857143,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Montana,Lincoln,1999,15.8663664596273,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Kansas,Shawnee,1999,12.4581013957307,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Ohio,Summit,1999,17.9662100329561,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Arizona,Gila,1999,10.2685185185185,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,West Virginia,Summers,1999,11.6743644957983,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,New Mexico,Sandoval,1999,5.21786066483804,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Kansas,Sedgwick,1999,12.8991283068783,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,Mississippi,Hinds,1999,16.467926139952,µg/m³,1
Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,California,Butte,1999,17.527380952381,µg/m³,1
